,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrEigen,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality
171,"STEINBERG PE, 2003","STEINBERG PE, 2003",0.014981273,0.014621324,0.016095333,0.016727211,0.003830015,0.016095333,0.016095333,108,195,34,594
80,"HLEBEC V, 2006","HLEBEC V, 2006",0.033707865,0.014685661,0.11135048,0.000187329,0.002216108,0.11135048,0.11135048,139,180,1,11.63888745
3,"ARMEY LE, 2016","ARMEY LE, 2016",0.029962547,0.014683238,0.105163473,0.000957862,0.002305103,0.105163473,0.105163473,138,38,1,45.73249424
27,"CHAN C, 2017","CHAN C, 2017",0.014981273,0.014675974,0.045374358,0,0.001391147,0.045374358,0.045374358,171,9,3,0.753173658
91,"JACKSON SJ, 2016","JACKSON SJ, 2016",0.014981273,0.014667106,0.047383798,0,0.001383791,0.047383798,0.047383798,170,47,3,0.98782786
176,"TANG L, 2012","TANG L, 2012",0.018726592,0.014634948,0.014655644,0.000244475,0.001809767,0.014655644,0.014655644,174,121,4,9.136090862
22,"CAIANI M, 2009","CAIANI M, 2009",0.071161049,0.01472616,0.234988585,9.97E-05,0.003737291,0.234988585,0.234988585,98,158,7,5.719267864
178,"TECHATASSANASOONTORN AA, 2010","TECHATASSANASOONTORN AA, 2010",0.003745318,0.014605328,0.014732739,0,0.000863388,0.014732739,0.014732739,195,143,28,0
10,"BERTEL TF, 2016","BERTEL TF, 2016",0.029962547,0.014684853,0.086950084,0.000162818,0.002102935,0.086950084,0.086950084,145,34,1,6.523405058
29,"CHENG Y, 2015","CHENG Y, 2015",0.06741573,0.01471642,0.218729463,0,0.003569819,0.218729463,0.218729463,102,74,7,2.131061942
181,VAN DER 2014-1,VAN DER 2014-1,0.052434457,0.014696978,0.075252296,0.003691093,0.004124651,0.075252296,0.075252296,117,80,5,104.489802
182,VAN DER 2014-2,VAN DER 2014-2,0.011235955,0.014604529,0.011475972,0,0.001407962,0.011475972,0.011475972,184,85,5,0
135,"NUERNBERGK C, 2014","NUERNBERGK C, 2014",0.048689139,0.01471642,0.131712793,0.000730936,0.003033234,0.131712793,0.131712793,125,97,6,48.96943649
121,"LONKILA M, 2008","LONKILA M, 2008",0.029962547,0.014691317,0.10811203,0.000123375,0.002095265,0.10811203,0.10811203,141,170,1,10.50632717
36,"COLLEONI E, 2014","COLLEONI E, 2014",0.04494382,0.014688893,0.130339066,0.000960358,0.002865817,0.130339066,0.130339066,128,87,7,62.08253034
144,"PARK SJ, 2014","PARK SJ, 2014",0.029962547,0.014688893,0.100839764,0.000163163,0.002043807,0.100839764,0.100839764,144,92,1,13.32228173
46,"DIMMICK J, 2011","DIMMICK J, 2011",0.026217228,0.014680816,0.074459524,0.000313026,0.001975609,0.074459524,0.074459524,152,132,1,17.43678063
52,"DVIR-GVIRSMAN S, 2017","DVIR-GVIRSMAN S, 2017",0.04494382,0.014715608,0.141190924,0.000527374,0.002837718,0.141190924,0.141190924,126,15,6,45.71494052
189,"WATSON BR, 2016","WATSON BR, 2016",0.011235955,0.014590164,0.007011429,0.00014921,0.001435822,0.007011429,0.007011429,185,29,20,4.797635698
106,"KWON KH, 2016","KWON KH, 2016",0.026217228,0.014689701,0.113897961,0.000125145,0.00186129,0.113897961,0.113897961,143,39,1,9.522118483
191,"WEBSTER JG, 2012","WEBSTER JG, 2012",0.003745318,0.014613322,0.01989889,0,0.000854171,0.01989889,0.01989889,194,123,26,0
77,"HIMELBOIM I, 2014-1","HIMELBOIM I, 2014-1",0.033707865,0.014680009,0.051224193,0.000984102,0.002638068,0.051224193,0.051224193,147,90,6,50.67992319
193,"WEGGE D, 2014","WEGGE D, 2014",0.018726592,0.014680816,0.041429218,0.001159411,0.001930148,0.041429218,0.041429218,161,83,23,1.444061011
138,"PACKER J, 2013","PACKER J, 2013",0.007490637,0.014628534,0.021713501,1.68E-05,0.001061399,0.021713501,0.021713501,188,111,2,0.884737731
67,"GIBSON RK, 2013","GIBSON RK, 2013",0.02247191,0.01469536,0.083055725,0.00027568,0.001814067,0.083055725,0.083055725,153,108,1,47.6856992
149,"PRESTIN A, 2015","PRESTIN A, 2015",0.02247191,0.014648598,0.047751439,0,0.001748449,0.047751439,0.047751439,164,66,7,1.252645663
82,"HOPKE JE, 2016-2","HOPKE JE, 2016-2",0.011235955,0.014618922,0.018259119,0,0.001298745,0.018259119,0.018259119,181,58,3,0.471089973
122,"MANTOVANI F, 2001","MANTOVANI F, 2001",0.011235955,0.014643778,0.033367989,3.08E-05,0.001232415,0.033367989,0.033367989,176,199,1,0
137,"OYELARAN-OYEYINKA B, 2005","OYELARAN-OYEYINKA B, 2005",0.011235955,0.014653422,0.044485263,0,0.001186383,0.044485263,0.044485263,175,184,1,0.242130096
200,"YEGIYAN NS, 2010","YEGIYAN NS, 2010",0.003745318,0.014478607,0.000532094,0,0.001325444,0.000532094,0.000532094,196,157,30,0
201,"YUAN EJ, 2013-1","YUAN EJ, 2013-1",0.003745318,0.014498262,0.000990198,0,0.001070389,0.000990198,0.000990198,201,99,25,0
183,VAN ZOONEN 2011,VAN ZOONEN 2011,0.029962547,0.014705072,0.091328676,0.000726801,0.002310558,0.091328676,0.091328676,142,133,6,32.74218467
5,"BARGE JK, 2008","BARGE JK, 2008",0.007490637,0.014630939,0.029891815,0,0.001014898,0.029891815,0.029891815,183,171,1,0
101,"KIMMERLE J, 2010","KIMMERLE J, 2010",0.02247191,0.014688084,0.062805438,0.000105377,0.001831797,0.062805438,0.062805438,157,153,6,7.1030296
45,"DESIVILYA HS, 2005","DESIVILYA HS, 2005",0.007490637,0.014617322,0.021911426,0,0.00103421,0.021911426,0.021911426,189,187,1,0
97,"KIM E, 2016","KIM E, 2016",0.007490637,0.014644581,0.033325793,1.66E-06,0.001010909,0.033325793,0.033325793,179,44,1,0.1
